NOM_LOC,- all -,,
,,,
,Data,,
NOM_MUN,Sum - P18YM_PB,Sum - PEA,
Acambay de Ruíz Castañeda,24170,51309,2.12283822920976
Acolman,218662,338803,1.54943703066834
Aculco,11381,33646,2.95633072664968
Almoloya de Alquisiras,6134,12333,2.01059667427454
Almoloya de Juárez,115946,217286,1.87402756455591
Almoloya del Río,14442,23429,1.62228223237779
Amanalco,9943,22989,2.31207884944182
Amatepec,8702,17539,2.01551367501724
Amecameca,64079,91881,1.43387069086596
Apaxco,30907,49492,1.60132008930016
Atenco,81599,137550,1.68568242257871
Atizapán,11335,23047,2.03325981473313
Atizapán de Zaragoza,911465,1088929,1.19470193589441
Atlacomulco,99687,162549,1.63059375846399
Atlautla,26757,56868,2.12535037560265
Axapusco,19647,35760,1.82012520995572
Ayapango,6772,9821,1.45023626698169
Calimaya,78432,106199,1.35402641778866
Capulhuac,42894,70893,1.65274863617289
Chalco,478532,757341,1.58263397223174
Chapa de Mota,12593,38229,3.03573413801318
Chapultepec,17366,21672,1.24795577565358
Chiautla,33255,49466,1.48747556758382
Chicoloapan,280521,394292,1.4055703494569
Chiconcuac,35343,54751,1.5491327844269
Chimalhuacán,722813,1373044,1.89958398645293
Coacalco de Berriozábal,592073,606458,1.0242959905282
Coatepec Harinas,10435,28173,2.69985625299473
Cocotitlán,16836,21038,1.2495842242813
Coyotepec,44934,75497,1.68017536831798
Cuautitlán,325756,374488,1.14959663060696
Cuautitlán Izcalli,1042392,1138434,1.09213616374646
Donato Guerra,9240,37042,4.00887445887446
Ecatepec de Morelos,2455503,3355450,1.36650209753358
Ecatzingo,8306,15777,1.89947026246087
El Oro,14146,26706,1.88788350063622
Huehuetoca,198702,307144,1.54575193002587
Hueypoxtla,34563,79646,2.30437172699129
Huixquilucan,460717,559041,1.2134151767788
Isidro Fabela,5121,8452,1.65045889474712
Ixtapaluca,762502,1064997,1.3967137135378
Ixtapan de la Sal,26573,48755,1.83475708425846
Ixtapan del Oro,1393,3778,2.71213208901651
Ixtlahuaca,119876,280957,2.34373018786079
Jaltenco,40626,55999,1.37840299315709
Jilotepec,58376,108332,1.85576264218172
Jilotzingo,12347,21815,1.76682594962339
Jiquipilco,29689,73770,2.48475866482536
Jocotitlán,55516,96643,1.74081345918294
Joquicingo,9703,19820,2.04266721632485
Juchitepec,25008,50406,2.01559500959693
La Paz,358613,607307,1.69348852384046
Lerma,190801,267265,1.40075261660054
Luvianos,9856,23674,2.40198863636364
Malinalco,12479,31432,2.51879156983733
Melchor Ocampo,76659,117757,1.53611448101332
Metepec,483995,485999,1.00414053864193
Mexicaltzingo,15899,20434,1.28523806528713
Morelos,15077,47504,3.15075943490084
Naucalpan de Juárez,1323993,1680369,1.26916758623346
Nextlalpan,68369,107125,1.56686509967968
Nezahualcóyotl,1728551,2233972,1.29239576963596
Nicolás Romero,522227,816839,1.56414547696691
Nopaltepec,9228,17097,1.85273081924577
Ocoyoacac,82408,120364,1.46058635083972
Ocuilan,10258,25897,2.5245661922402
Otumba,28044,50628,1.80530594779632
Otzoloapan,1748,2624,1.50114416475973
Otzolotepec,67489,131444,1.94763591103735
Ozumba,32271,52700,1.63304514889529
Papalotla,7722,8973,1.16200466200466
Polotitlán,6676,11803,1.76797483523068
Rayón,19575,26858,1.37205619412516
San Antonio la Isla,49594,60536,1.22063152800742
San Felipe del Progreso,51892,187556,3.61435288676482
San José del Rincón,9700,60620,6.24948453608247
San Martín de las Pirámides,25512,36119,1.41576513013484
San Mateo Atenco,127696,195383,1.53006358852274
San Simón de Guerrero,2503,3790,1.51418298042349
Santo Tomás,2141,4530,2.11583372255955
Soyaniquilpan de Juárez,8408,14567,1.73251665080875
Sultepec,7756,18935,2.4413357400722
Tecámac,923923,1098883,1.18936642988647
Tejupilco,52213,84713,1.62245034761458
Temamatla,13145,17941,1.36485355648536
Temascalapa,33315,66381,1.99252588923908
Temascalcingo,30608,78448,2.56299006795609
Temascaltepec,7489,20174,2.69381759914541
Temoaya,61385,141714,2.30860959517798
Tenancingo,80947,148782,1.83801746821995
Tenango del Aire,12066,14202,1.17702635504724
Tenango del Valle,79782,149531,1.87424481712667
Teoloyucan,76278,120849,1.58432313380005
Teotihuacán,71164,105385,1.48087516159856
Tepetlaoxtoc,30551,48350,1.58259958757487
Tepetlixpa,18873,35940,1.90430774121761
Tepotzotlán,119777,183319,1.53050251717776
Tequixquiac,40630,76148,1.87418163918287
Texcaltitlán,6214,11306,1.81943997425169
Texcalyacac,6544,9566,1.46179706601467
Texcoco,390977,510633,1.30604357801098
Tezoyuca,50005,89902,1.7978602139786
Tianguistenco,73999,133756,1.80753793970189
Timilpan,4661,8802,1.88843595794894
Tlalmanalco,64985,83447,1.28409632992229
Tlalnepantla de Baz,1189256,1410629,1.18614411026726
Tlatlaya,7797,20266,2.59920482236758
Toluca,1387167,1773960,1.27883665052586
Tonanitla,20462,27274,1.33290978398983
Tonatico,9489,17125,1.80472125619138
Total de la entidad México,5814269,8544416,1.46955980192867
Tultepec,246313,316940,1.28673679424147
Tultitlán,792519,1042158,1.31499434082968
Valle de Bravo,45625,81089,1.77729315068493
Valle de Chalco Solidaridad,404978,788625,1.94732800300263
Villa de Allende,9681,39472,4.07726474537754
Villa del Carbón,22529,56950,2.52785298948023
Villa Guerrero,24424,91181,3.73325417622011
Villa Victoria,18143,83474,4.60089290635507
Xalatlaco,19551,43196,2.20940105365454
Xonacatlán,53676,88162,1.64248453685073
Zacazonapan,2984,5103,1.71012064343164
Zacualpan,4664,10016,2.147512864494
Zinacantepec,222966,345080,1.54767991532341
Zumpahuacán,4575,14179,3.0992349726776
Zumpango,315288,514138,1.63069320748015
Total Result,27946737,39719442,
,,,
,,,
,,,1.88422799478292
